id,STATISTIC Label,TLIST(A1),Year,C03151V03803,Type of dwelling,C03440V04149,Energy rating,UNIT,VALUE
DBERNG01,Mean Gas Consumption,2022,2022,11,Mid-terrace house,13,A - B,Mean kilowatt hours,7600
DBERNG01,Mean Gas Consumption,2022,2022,11,Mid-terrace house,07,C,Mean kilowatt hours,7517
DBERNG01,Mean Gas Consumption,2022,2022,11,Mid-terrace house,08,D,Mean kilowatt hours,7981
DBERNG01,Mean Gas Consumption,2022,2022,11,Mid-terrace house,09,E,Mean kilowatt hours,8136
DBERNG01,Mean Gas Consumption,2022,2022,11,Mid-terrace house,10,F- G,Mean kilowatt hours,7585
DBERNG01,Mean Gas Consumption,2022,2022,11,Mid-terrace house,-,All BER ratings,Mean kilowatt hours,7699
DBERNG01,Mean Gas Consumption,2022,2022,10,End of terrace house,13,A - B,Mean kilowatt hours,8833
DBERNG01,Mean Gas Consumption,2022,2022,10,End of terrace house,07,C,Mean kilowatt hours,8405
DBERNG01,Mean Gas Consumption,2022,2022,10,End of terrace house,08,D,Mean kilowatt hours,8731
DBERNG01,Mean Gas Consumption,2022,2022,10,End of terrace house,09,E,Mean kilowatt hours,9118
DBERNG01,Mean Gas Consumption,2022,2022,10,End of terrace house,10,F- G,Mean kilowatt hours,8809
DBERNG01,Mean Gas Consumption,2022,2022,10,End of terrace house,-,All BER ratings,Mean kilowatt hours,8635
DBERNG01,Mean Gas Consumption,2022,2022,09,Semi-detached house,13,A - B,Mean kilowatt hours,9712
DBERNG01,Mean Gas Consumption,2022,2022,09,Semi-detached house,07,C,Mean kilowatt hours,9530
DBERNG01,Mean Gas Consumption,2022,2022,09,Semi-detached house,08,D,Mean kilowatt hours,10138
DBERNG01,Mean Gas Consumption,2022,2022,09,Semi-detached house,09,E,Mean kilowatt hours,11017
DBERNG01,Mean Gas Consumption,2022,2022,09,Semi-detached house,10,F- G,Mean kilowatt hours,10612
DBERNG01,Mean Gas Consumption,2022,2022,09,Semi-detached house,-,All BER ratings,Mean kilowatt hours,9875
DBERNG01,Mean Gas Consumption,2022,2022,08,Detached house,13,A - B,Mean kilowatt hours,14442
DBERNG01,Mean Gas Consumption,2022,2022,08,Detached house,07,C,Mean kilowatt hours,13431
DBERNG01,Mean Gas Consumption,2022,2022,08,Detached house,08,D,Mean kilowatt hours,12963
DBERNG01,Mean Gas Consumption,2022,2022,08,Detached house,09,E,Mean kilowatt hours,13967
DBERNG01,Mean Gas Consumption,2022,2022,08,Detached house,10,F- G,Mean kilowatt hours,13068
DBERNG01,Mean Gas Consumption,2022,2022,08,Detached house,-,All BER ratings,Mean kilowatt hours,13563
DBERNG01,Mean Gas Consumption,2022,2022,-,All dwellings,13,A - B,Mean kilowatt hours,9813
DBERNG01,Mean Gas Consumption,2022,2022,-,All dwellings,07,C,Mean kilowatt hours,9374
DBERNG01,Mean Gas Consumption,2022,2022,-,All dwellings,08,D,Mean kilowatt hours,9672
DBERNG01,Mean Gas Consumption,2022,2022,-,All dwellings,09,E,Mean kilowatt hours,10013
DBERNG01,Mean Gas Consumption,2022,2022,-,All dwellings,10,F- G,Mean kilowatt hours,9382
DBERNG01,Mean Gas Consumption,2022,2022,-,All dwellings,-,All BER ratings,Mean kilowatt hours,
